University_Name,Country_Rank,World_Rank
Indian Institute of Technology Jodhpur,98,4785
Indian Institute of Technology Kanpur,3,466
Indian Institute of Technology Kharagpur,6,872
Indian Institute of Technology Madras,4,715
Indian Institute of Technology Mandi,93,4683
Indian Institute of Technology Patna,120,5060
Indian Institute of Technology Roorkee,29,2377
Indian Institute of Technology Ropar,126,5196
"Indian Institute of Technology, BHU",94,4708
Indian Maritime University,251,7010
Indian School of Mines,121,5103
Indian Statistical Institute,31,2472
Indian Veterinary Research Institute,167,5948
Indira Gandhi Delhi Technical University for Women,490,9039
Indira Gandhi Institute of Development Research,78,4323
Indira Gandhi Institute of Medical Sciences,464,8889
Indira Gandhi Krishi Vishwavidyalaya,191,6271
Indira Gandhi National Tribal University,307,7614
Indira Gandhi Technological and Medical Sciences University,848,12056
"Indira Gandhi University, Meerpur",448,8780
Indira Kala Sangeet Vishwavidyalaya,687,10471
Indraprastha Institute of Information Technology,82,4375
Indrashil University,770,11166
Indus International University,835,11869
Indus University,663,10268
Institute of Advanced Research,796,11379
Institute of Advanced Studies in Education,659,10256
Institute of Chemical Technology,267,7153
"Institute of Infrastructure, Technology, Research and Management",599,9757
Integral University,312,7656
International Institute for Population Sciences,168,5957
International Institute of Information Technology Bangalore,81,4370
"International Institute of Information Technology, Bhubaneswar",450,8808
"International Institute of Information Technology, Hyderabad",18,1774
"International Institute of Information Technology, Naya Raipur",604,9798
Invertis University,130,5336
ISBM University,729,10807
Islamic University of Science and Technology,400,8373
ITM University Gwalior,434,8626
ITM University Raipur,160,5912
ITM Vocational University,758,11016
J.C. Bose University of Science and Technology,382,8224
Jadavpur University,66,4103
Jagadguru Ramanandacharya Rajasthan Sanskrit University,698,10602
Jagadguru Rambhadracharya Handicapped University,731,10810
Jagan Nath University,716,10716
Jagannath University,568,9542
Jagran Lakecity University,629,10040
Jai Narain Vyas University,439,8690
Jai Prakash Vishwavidyalaya,235,6789
Jain University,107,4886
Jain Vishva Bharati Institute,535,9356
Jaipur National University,246,6950
Jamia Hamdard,125,5186
Jamia Millia Islamia,38,2920
Jananayak Chandrashekhar University,754,10987
Janardan Rai Nagar Rajasthan Vidhyapeeth University,426,8562
Jawaharlal Institute of Postgraduate Medical Education and Research,67,4104
Jawaharlal Nehru Architecture and Fine Arts University,458,8850
Jawaharlal Nehru Centre for Advanced Scientific Research,83,4435
Jawaharlal Nehru Krishi Vishwavidyalaya,355,8024
Jawaharlal Nehru Technological University,118,5023
"Jawaharlal Nehru Technological University, Anantapur",301,7529
"Jawaharlal Nehru Technological University, Kakinada",165,5930
Jawaharlal Nehru University,13,1548
Jayoti Vidyapeeth Women's University,443,8740
Jaypee Institute of Information Technology,260,7108
Jaypee University Anoopshahr,836,11889
Jaypee University of Engineering and Technology,431,8599
Jaypee University of Information Technology,227,6668
JECRC University,314,7667
Jharkhand Rai University,761,11044
Jharkhand Raksha Shakti University,Un,Un
JIS University,673,10365
Jiwaji University,158,5901
JK Lakshmipat University,378,8184
Jodhpur National University,719,10733
JS University,793,11348
JSS Academy of Higher Education and Research,389,8312
JSS Science and Technology University,830,11797
Junagadh Agricultural University,414,8498
K L University,115,5008
K.K. University,824,11746
K.R. Mangalam University,419,8527
Kadi Sarva Vishwavidyalaya,619,9950
Kakatiya University,321,7745
Kalasalingam Academy of Research and Education,186,6192
Kalinga University,614,9906
Kamdhenu University,740,10859
Kameshwar Singh Darbhanga Sanskrit University,790,11340
Kannada University,566,9512
Kannur University,213,6497
Karnatak University,315,7673
Karnataka Janapada Vishwavidyalaya,853,12146
Karnataka Samskrit University,693,10583
Karnataka State Law University,539,9376
Karnataka State Rural Development and Panchayat Raj University,866,12524
Karnataka State Women's University,648,10162
"Karnataka Veterinary, Animal and Fisheries Sciences University",694,10584
Karnavati University,856,12328
Karpagam Academy of Higher Education,769,11151
Karunya Institute of Technology and Sciences,150,5790
Kavayitri Bahinabai Chaudhari North Maharashtra University,161,5917
Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,403,8392
Kazi Nazrul University,625,9993
Kaziranga University,556,9452
Kerala Agricultural University,105,4865
Kerala Kalamandalam,637,10100
Kerala University of Fisheries and Ocean Studies,460,8859
Kerala University of Health Sciences,524,9268
Kerala Veterinary and Animal Sciences University,493,9043
Khallikote University Berhampur,867,12574
Khwaja Moinuddin Chishti Language University,739,10858
KIIT University,85,4462
King George's Medical University,216,6528
KLE Technological University,697,10599
KLE University,248,6978
Kolhan University,484,8986
Krantiguru Shyamji Krishna Verma Kachchh University,360,8054
Krishna Institute of Medical Sciences,616,9918
Krishna University,451,8814
KSGH Music and Performing Arts University,839,11946
Kumar Bhaskar Varma Sanskrit and Ancient Studies University,815,11671
Kumaun University,269,7174
Kurukshetra University,33,2781
Kushabhau Thakre Patrakarita Avam Jansanchar University,720,10745
Kuvempu University,306,7591
Lakshmibai National Institute of Physical Education,396,8357
Lakulish Yoga University,865,12516
Lala Lajpat Rai University of Veterinary and Animal Sciences,567,9517
Lalit Narayan Mithila University,407,8462
Lingaya's University,486,8990
LNCT University,806,11495
Lovely Professional University,20,1928
M.J.P. Rohilkhand University,194,6328
Madan Mohan Malaviya University of Technology,305,7587
Madhav University,513,9218
Madhyanchal Professional University,868,12635
Madurai Kamaraj University,101,4820
Magadh University,364,8074
Mahapurusha Srimanta Sankaradeva Viswavidyalaya,777,11246
Maharaja Agrasen University,762,11058
Maharaja Bir Bikram University,851,12087
Maharaja Chhatrasal Bundelkhand University,649,10163
